Article;Vehicle Reference;EAN;Series;Type;Price;Part 1;Part 2;Part 3;Part 4;Part 5;Part 6;Part 7;Part 8;Part 9;Part 10;Part 11;Part 12;Part 13;Part 14;Part 15;Part 16;Part 17;Part 18;Part 19;Part 20;Additional pics
COFIT MERCEDES C-CLASS W205 COAX EVO;100028;4251834500297;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;2:3
COFIT MERCEDES C-CLASS W205 COAX EVO;100029;4251834500297;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 COAX EVO;100030;4251834500297;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 COAX EVO;100031;4251834500297;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100028;4251834500273;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100029;4251834500273;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100030;4251834500273;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100031;4251834500273;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS CABRIO A238 COAX EVO;100032;4251834501911;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS CABRIO A238 EVO;100032;4251834501850;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS COUPE C238 COAX EVO;100033;4251834501904;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS COUPE C238 EVO;100033;4251834501843;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 COAX EVO;100034;4251834501898;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 COAX EVO;100035;4251834501898;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 EVO;100034;4251834501836;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 EVO;100035;4251834501836;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC COUPE C253 COAX EVO;100036;4251834501881;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC COUPE C253 EVO;100036;4251834501843;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC SUV X253 EVO;100037;4251834501812;COFITMERCEDESEVO;Speaker Set Front;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC SUV X253 COAX EVO;100037;4251834501874;COFITCOAXMERCEDESEVO;Speaker Set Rear;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES W124 EVO;100044;4260101647085;COFITMERCEDESEVO;Speaker Set Front;135;CO 120 EVO;CONNECTOR 013;;;;;;;;;;;;;;;;;;;
COFIT VW Bora Rear EVO;100066;4251834506138;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Eos Rear EVO;100067;4251834506169;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 4 Rear-3 EVO;100070;4251834506190;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 4 Rear-5 EVO;100070;4251834506220;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 5 Rear-3 EVO;100071;4251834506251;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 5 Rear-5 EVO;100071;4251834506282;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 6 Rear-3 EVO;100072;4251834506312;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 6 Rear-5 EVO;100072;4251834506343;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 7 Rear-3 EVO;100073;4251834506374;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 7 Rear-5 EVO;100073;4251834506404;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Golf 8 Rear EVO;100074;4251834506435;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW ID.4 REAR EVO;100075;4251834506466;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW LUPO REAR-3 EVO;100076;4251834506497;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW LUPO REAR-5 EVO;100076;4251834506916;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW PASSAT 3B(G) REAR EVO;100078;4251834506527;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW PASSAT 3C REAR EVO;100079;4251834506558;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 6C REAR-3 EVO;100082;4251834506640;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 6C REAR-5 EVO;100082;4251834506886;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 6R REAR-3 EVO;100081;4251834506619;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 6R REAR-5 EVO;100081;4251834506855;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 9N REAR-3 EVO;100080;4251834506589;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO 9N REAR-5 EVO;100080;4251834506824;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW POLO AW REAR EVO;100083;4251834506671;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW SCIROCCO 3 REAR EVO;100086;4251834506701;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW T4 REAR EVO;100087;4260101647092;COFIT120EVO;Speaker Set Rear;135;CO 120 EVO;CONNECTOR 013;;;;;;;;;;;;;;;;;;;
COFIT VW TOURAN 5T REAR EVO;100091;4251834506794;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW UP! REAR-3 EVO;100092;4251834506732;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW UP! REAR-5 EVO;100092;4251834506763;COFIT165EVO;Speaker Set Rear;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
MFIT AUDI A3 8L EVO2;100001;4251834500068;MFIT130EVO2;Speaker Set Front;170;MS 130 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR AUDI1;CONNECTOR 007;;;;;;;;;;;;;;;
MFIT AUDI A3 8P EVO2;100002;4251834500006;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR VAG2;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT AUDI A4 B5 EVO2;100004;4251834500327;MFIT130EVO2;Speaker Set Front;170;MS 130 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR AUDI2;CONNECTOR 007;;;;;;;;;;;;;;;
MFIT AUDI A4 B6 EVO2;100005;4251834501256;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR VAG2;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT AUDI A4 B7 EVO2;100006;4251834501263;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR VAG2;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT AUDI R8 42 EVO2;100016;4251834500020;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR VAG2;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT CITROEN JUMPER EVO 2;100019;4260101649584;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR DUCATO EVO;CONNECTOR 007;CONNECTOR 009;;;;;;;;;;;;;;
MFIT FIAT DUCATO EVO 2;100020;4260101646699;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR DUCATO EVO;CONNECTOR 007;CONNECTOR 009;;;;;;;;;;;;;;
MFIT FORD FOCUS MK3 EVO2;100021;4251834503144;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR FORD 1;CONNECTOR 021;;;;;;;;;;;;;;;;
MFIT FORD TRANSIT 6 CONNECT EVO2;100022;4251834506046;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR FORD2;CONNECTOR 017;CONNECTOR 024;;;;;;;;;;;;;;
MFIT FORD TRANSIT 6 CUSTOM EVO2;100023;4251834506060;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR FORD2;CONNECTOR 017;CONNECTOR 024;;;;;;;;;;;;;;
MFIT HYUNDAI I30 PD EVO2;100024;4251834506039;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR HYUNDAI1;CONNECTOR 022;CONNECTOR 023;;;;;;;;;;;;;;
MFIT LAMBORHINI GALLARDO EVO2;100025;4251834500037;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR VAG2;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W203 EVO2;100026;4251834501553;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR MERC3;CONNECTOR 005;CONNECTOR 019;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W204 EVO2;100027;4251834501577;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR MERC1;CONNECTOR 005;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W205 EVO;100028;4251834500266;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W205 EVO;100029;4251834500266;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W205 EVO;100030;4251834500266;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES C-CLASS W205 EVO;100031;4251834500266;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES E-CLASS CABRIO A238 EVO;100032;4251834501799;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES E-CLASS COUPE C238 EVO;100033;4251834501782;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES E-CLASS W213 EVO;100034;4251834501775;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES E-CLASS W213 EVO;100035;4251834501775;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES GLC COUPE C253 EVO;100036;4251834501768;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES GLC SUV X253 EVO;100037;4251834501751;MFITMERCEDESEVO;Speaker Set Front;500;HS 24 MB1 EVO2;FWK TW;MS 100 MB1 EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;
MFIT MERCEDES SPRINTER W906 EVO2;100038;4251834500471;MFIT130EVO2;Speaker Set Front;170;MS 130 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR MERC2;CONNECTOR 005;CONNECTOR 012;;;;;;;;;;;;;;
MFIT MERCEDES SPRINTER W907 EVO2;100039;4251834503168;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW*;LSR SPRINTER;CONNECTOR 014;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT MERCEDES V-CLASS W447 EVO2;100040;4251834501294;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR MERC1;CONNECTOR 005;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT MERCEDES VIANO W639 EVO2;100043;4251834500471;MFIT130EVO2;Speaker Set Front;170;MS 130 EVO;HS 24 EVO2;FWK TW;LSR MERC2;CONNECTOR 005;CONNECTOR 012;;;;;;;;;;;;;;;
MFIT MERCEDES VITO W447 EVO2;100041;4260101646026;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR MERC1;CONNECTOR 005;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT MERCEDES VITO W639 EVO2;100042;4251834500488;MFIT130EVO2;Speaker Set Front;170;MS 130 EVO;HS 24 EVO2;FWK TW;LSR MERC2;CONNECTOR 005;CONNECTOR 012;;;;;;;;;;;;;;;
MFIT MERCEDES X-CLASS 470 EVO2;100045;4260101646033;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR MERC1;CONNECTOR 005;CONNECTOR 011;;;;;;;;;;;;;;;
MFIT OPEL ADAM EVO2;100046;4251834500549;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL ASTRA J EVO2;100047;4251834500556;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL ASTRA K EVO2;100048;4251834500563;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL INSIGNIA A EVO2;100049;4251834500570;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL KARL EVO2;100050;4251834500617;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL MERIVA B EVO2;100051;4251834500624;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL MOKKA A EVO2;100052;4251834500631;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL MOKKA X EVO2;100053;4251834500648;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT OPEL ZAFIRA TOURER EVO2;100054;4251834500655;MFIT165EVO2;Speaker Set Front;170;MS 165 EVO;HS 24 INSTALL EVO2;FWK TW;LSR-UNI-TW;LSR OPEL1;CONNECTOR 009;CONNECTOR 017;;;;;;;;;;;;;;
MFIT PEUGEOT BOXER EVO2;100055;4260101649591;MFIT165EVO2;Speaker Set Front;170;AS 165 EM EVO;HS 25 INSTALL EVO2;FWK TW EVO;LSR-UNI-TW;LSR DUCATO EVO;CONNECTOR 007;CONNECTOR 009;FWK MW;;;;;;;;;;;;;
