Reference (100001-100092);Manufacturer;Model;Type;Year from;Year to;Variant;Link
100001;Audi;A3;8L;1996;;;"https://en.wikipedia.org/wiki/Audi_A3#First_generation_(Typ_8L;_1996)"
100002;Audi;A3;8P;2003;;;"https://en.wikipedia.org/wiki/Audi_A3#Second_generation_(Typ_8P;_2003)"
100003;Audi;A3;8V;2012;;;"https://en.wikipedia.org/wiki/Audi_A3#Third_generation_(Typ_8V;_2013)"
100004;Audi;A4;B5;1994;;;"https://en.wikipedia.org/wiki/Audi_A4#B5_(Typ_8D;_1994)"
100005;Audi;A4;B6;2000;;;"https://en.wikipedia.org/wiki/Audi_A4#B6_(Typ_8E/8H;_2000)"
100006;Audi;A4;B7;2004;;;"https://en.wikipedia.org/wiki/Audi_A4#B7_(Typ_8E/8H;_2004)"
100007;Audi;A4;B8;2007;;;"https://en.wikipedia.org/wiki/Audi_A4#B8_(Typ_8K;_2008)"
100008;Audi;A4;B9;2015;;;"https://en.wikipedia.org/wiki/Audi_A4#B9_(Typ_8W;_2016)"
100009;Audi;A5;8T;2007;;;https://en.wikipedia.org/wiki/Audi_A5#First_generation_(2007%E2%80%932016)
100010;Audi;A5;F5;2016;;;https://en.wikipedia.org/wiki/Audi_A5#Second_generation_(2018%E2%80%93present)
100011;Audi;A6;C7;2011;;;https://en.wikipedia.org/wiki/Audi_A6#C7_(Typ_4G,_2011%E2%80%932018)
100012;Audi;A6;C8;2018;;;https://en.wikipedia.org/wiki/Audi_A6#C8_(Typ_4K,_2018%E2%80%93present)
100013;Audi;A7;C7;2010;;;"https://en.wikipedia.org/wiki/Audi_A7#First_generation_(Type_4G8;_2010%E2%80%932018)"
100014;Audi;A7;C8;2018;;;"https://en.wikipedia.org/wiki/Audi_A7#Second_generation_(Type_4K8;_2018%E2%80%93present)"
100015;Audi;Q5;8R;2008;;;"https://en.wikipedia.org/wiki/Audi_Q5#First_generation_(Typ_8R;_2008%E2%80%932017)"
100016;Audi;R8;42;2006;;;https://en.wikipedia.org/wiki/Audi_R8_(Type_42)
100017;Audi;R8;4S;2015;;;https://en.wikipedia.org/wiki/Audi_R8_(Type_4S)
100018;BMW;3-series;E46;1998;;;https://en.wikipedia.org/wiki/BMW_3_Series_(E46)
100019;Citroen;Jumper;;2006;;;https://en.wikipedia.org/wiki/Fiat_Ducato#Third_generation_(2006)
100020;Fiat;Ducato;;2006;;;https://en.wikipedia.org/wiki/Fiat_Ducato#Third_generation_(2006)
100021;Ford;Focus;MK3;2010;;;"https://en.wikipedia.org/wiki/Ford_Focus#Third_generation_(C346;_2010)"
100022;Ford;Transit;MK6;2013;;Connect;https://en.wikipedia.org/wiki/Ford_Transit_Connect#Second_generation_(2012%E2%80%932022)
100023;Ford;Transit;MK6;2012;;Custom;https://en.wikipedia.org/wiki/Ford_Transit_Custom
100024;Hyundai;I30;PD;2017;;;"https://en.wikipedia.org/wiki/Hyundai_i30#Third_generation_(PD;_2016)"
100025;Lamborghini;Gallardo;;2003;;;https://en.wikipedia.org/wiki/Lamborghini_Gallardo
100026;Mercedes;C-Class;W203;2000;;;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W203)
100027;Mercedes;C-Class;W204;2007;;;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
100028;Mercedes;C-Class;W205;2014;;Sedan;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
100029;Mercedes;C-Class;C205;2014;;Coupe;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)#C-Class_Coupe_(2015%E2%80%932022)v
100030;Mercedes;C-Class;S205;2014;;Wagon;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
100031;Mercedes;C-Class;A205;2014;;Convertible;https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)#C-Class_Cabriolet_(2016%E2%80%932022)
100032;Mercedes;E-Class;A238;2017;;Convertible;https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)#Design
100033;Mercedes;E-Class;C238;2017;;Coupe;https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)#Design
100034;Mercedes;E-Class;W213;2016;;Sedan;https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
100035;Mercedes;E-Class;S213;2016;;Wagon;https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)#Design
100036;Mercedes;GLC;C253;2016;;Coupe;"https://en.wikipedia.org/wiki/Mercedes-Benz_GLC#First_generation_(X253/C253;_2015)"
100037;Mercedes;GLC;X253;2015;;SUV;"https://en.wikipedia.org/wiki/Mercedes-Benz_GLC#First_generation_(X253/C253;_2015)"
100038;Mercedes;Sprinter;W906;2006;;;https://en.wikipedia.org/wiki/Mercedes-Benz_Sprinter#Second_generation_(2006%E2%80%932018)
100039;Mercedes;Sprinter;W907;2018;;;https://en.wikipedia.org/wiki/Mercedes-Benz_Sprinter#Third_generation_(2019%E2%80%93present)
100040;Mercedes;V-Class;W447;2014;;;"https://en.wikipedia.org/wiki/Mercedes-Benz_Vito#Third_generation_(W447;_2014)"
100041;Mercedes;Vito;W447;2014;;;"https://en.wikipedia.org/wiki/Mercedes-Benz_Vito#Third_generation_(W447;_2014)"
100042;Mercedes;Vito;W639;2003;;;"https://en.wikipedia.org/wiki/Mercedes-Benz_Vito#Second_generation_(W639;_2003)"
100043;Mercedes;Viano;W639;2003;;;"https://en.wikipedia.org/wiki/Mercedes-Benz_Vito#Second_generation_(W639;_2003)"
100044;Mercedes;E-Class;W124;1984;;;https://en.wikipedia.org/wiki/Mercedes-Benz_W124
100045;Mercedes;X-Class;W470;2017;;;https://en.wikipedia.org/wiki/Mercedes-Benz_X-Class
100046;Opel;Adam;;2012;;;https://en.wikipedia.org/wiki/Opel_Adam
100047;Opel;Astra;J;2009;;;"https://en.wikipedia.org/wiki/Opel_Astra#Astra_J_(P10;_2009)"
100048;Opel;Astra;K;2015;;;"https://en.wikipedia.org/wiki/Opel_Astra#Astra_K_(B16;_2015)"
100049;Opel;Insignia;A;2009;;;"https://en.wikipedia.org/wiki/Opel_Insignia#First_generation_(G09;_2008)"
100050;Opel;Karl;;2015;;;https://en.wikipedia.org/wiki/Opel_Karl
100051;Opel;Meriva;B;2010;;;https://en.wikipedia.org/wiki/Opel_Meriva#Second_generation_(2010)
100052;Opel;Mokka;A;2012;;;"https://en.wikipedia.org/wiki/Opel_Mokka#First_generation_(J13;_2012)"
100053;Opel;Mokka;X;2016;;;"https://en.wikipedia.org/wiki/Opel_Mokka#First_generation_(J13;_2012)"
100054;Opel;Zafira;Tourer;2011;;;https://en.wikipedia.org/wiki/Opel_Zafira#Zafira_Tourer_C_(2011%E2%80%932019)
100055;Peugeot;Boxer;;2006;;;https://en.wikipedia.org/wiki/Fiat_Ducato#Third_generation_(2006)
100056;Porsche;924;;1975;;;https://en.wikipedia.org/wiki/Porsche_924
100057;Saab;9-3;I;1998;;;https://en.wikipedia.org/wiki/Saab_9-3#First_generation_(1998%E2%80%932003)
100058;Seat;Arosa;;1997;;;https://en.wikipedia.org/wiki/SEAT_Arosa
100059;Seat;Exeo;;2008;;;https://en.wikipedia.org/wiki/SEAT_Exeo
100060;Seat;Cordoba;6K;1993;;;"https://en.wikipedia.org/wiki/SEAT_C%C3%B3rdoba#First_generation_(Typ_6K;_1993)"
100061;Seat;Ibiza;6F;2017;;;"https://en.wikipedia.org/wiki/SEAT_Ibiza#Fifth_generation_(6F/KJ1;_2017)"
100062;Seat;Leon;5F;2012;;;"https://en.wikipedia.org/wiki/SEAT_Le%C3%B3n#Third_generation_(5F;_2012)"
100063;Skoda;Fabia;6Y;1999;;;"https://en.wikipedia.org/wiki/%C5%A0koda_Fabia#First_generation_(Type_6Y;_1999)"
100064;Skoda;Octavia;5E;2012;;;"https://en.wikipedia.org/wiki/%C5%A0koda_Octavia#Third_generation_(Typ_5E;_2012)"
100065;Skoda;Superb;3V;2015;;;"https://en.wikipedia.org/wiki/%C5%A0koda_Superb#Third_generation_(B8,_Typ_3V;_2015%E2%80%93present)"
100066;VW;Bora;;1998;;;https://en.wikipedia.org/wiki/Volkswagen_Bora
100067;VW;Eos;;2006;;;https://en.wikipedia.org/wiki/Volkswagen_Eos
100068;VW;Golf;1;1974;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk1
100069;VW;Golf;2;1983;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2
100070;VW;Golf;4;1997;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk4
100071;VW;Golf;5;2003;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk5
100072;VW;Golf;6;2008;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk6
100073;VW;Golf;7;2012;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk7
100074;VW;Golf;8;2019;;;https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk8
100075;VW;ID.4;;2020;;;https://en.wikipedia.org/wiki/Volkswagen_ID.4
100076;VW;Lupo;;1998;;;https://en.wikipedia.org/wiki/Volkswagen_Lupo
100077;VW;Passat;32B;1980;;;"https://en.wikipedia.org/wiki/Volkswagen_Passat#B2_(Typ_32B;_1981)"
100078;VW;Passat;3B(G);1996;;;"https://en.wikipedia.org/wiki/Volkswagen_Passat#B5_(Typ_3B,_1997)_and_B5.5_(3BG;_2001)"
100079;VW;Passat;3C;2005;;;"https://en.wikipedia.org/wiki/Volkswagen_Passat#B6_(Typ_3C;_2005)_and_B7_(2010)"
100080;VW;Polo;9N(3);2001;;;https://en.wikipedia.org/wiki/Volkswagen_Polo_Mk4
100081;VW;Polo;6R;2009;;;"https://en.wikipedia.org/wiki/Volkswagen_Polo#Fifth_generation_(6R/6C/61;_2009)"
100082;VW;Polo;6C;2014;;;"https://en.wikipedia.org/wiki/Volkswagen_Polo#Fifth_generation_(6R/6C/61;_2009)"
100083;VW;Polo;AW;2017;;;"https://en.wikipedia.org/wiki/Volkswagen_Polo#Sixth_generation_(AW/BZ;_2017)"
100084;VW;Scirocco;1;1974;;;https://en.wikipedia.org/wiki/Volkswagen_Scirocco#First_generation_(1974)
100085;VW;Scirocco;2;1981;;;https://en.wikipedia.org/wiki/Volkswagen_Scirocco#Second_generation_(1981)
100086;VW;Scirocco;3;2008;;;https://en.wikipedia.org/wiki/Volkswagen_Scirocco#Third_generation_(2008)
100087;VW;T4;;1990;;;https://en.wikipedia.org/wiki/Volkswagen_Transporter_(T4)
100088;VW;T5;;2003;;;https://en.wikipedia.org/wiki/Volkswagen_Transporter_(T5)
100089;VW;T6;;2015;;;https://en.wikipedia.org/wiki/Volkswagen_Transporter_(T6)
100090;VW;T6.1;;2019;;;https://en.wikipedia.org/wiki/Volkswagen_Transporter_(T6)#Transporter_T6.1
100091;VW;Touran;5T;2015;;;"https://en.wikipedia.org/wiki/Volkswagen_Touran#Second_generation_(Typ_5T;_2015)"
100092;VW;Up!;;2011;;;https://en.wikipedia.org/wiki/Volkswagen_Up
